"~id","~labels","dateCreation","extension","expired","isProtected","dateExpiration","dateModification","nbDaysBeforeExpires","id","status"
"1088","Site","2008-12-11","nc","True","False","2019-12-11","2019-12-08",-1036,"caledoniaspirit","red"
"1089","Site","2018-03-22","nc","False","False","2023-03-22","2018-03-22",160,"caledonie-charter","green"
"1090","Site","2012-12-07","nc","False","False","2022-12-06","2020-10-27",54,"caledoniecouleur","green"
"1091","Site","2008-12-01","nc","False","False","2023-12-01","2018-10-31",414,"caledonieensemble","green"
"1092","Site","2006-10-25","nc","False","False","2024-10-25","2020-07-16",743,"caledonienne-immo","green"
"1093","Site","2018-04-27","nc","False","False","2024-04-27","2022-04-09",562,"caledoniepiscine","green"
"1094","Site","2020-09-22","nc","False","False","2025-09-22","2020-09-22",1075,"caledopharm","green"
"1095","Site","2021-12-13","nc","False","False","2026-12-13","2021-12-13",1522,"caledopneus","green"
"1096","Site","2021-12-08","nc","False","False","2026-12-08","2021-12-08",1517,"caledopneusnc","green"
"1097","Site","2019-05-29","nc","False","False","2023-05-29","2021-05-27",228,"caledopropre","green"
"1098","Site","2009-09-02","nc","False","False","2024-09-02","2022-08-30",690,"caledoradio","green"
"1099","Site","2022-03-24","nc","False","False","2024-05-08","2022-03-24",573,"caledoremorquage","green"
"1100","Site","2021-03-24","nc","False","False","2023-03-24","2021-03-24",162,"caledorepair","green"
"1101","Site","2021-12-08","nc","False","False","2023-01-21","2021-12-08",100,"caledoselfie","green"
"1102","Site","2019-05-03","nc","False","False","2023-05-03","2021-04-30",202,"caledotoiture","green"
"1103","Site","2022-04-18","nc","False","False","2027-04-18","2022-04-18",1648,"caledowin","green"
"1104","Site","2016-06-20","nc","False","False","2023-06-20","2018-06-19",250,"caleo","green"
"1105","Site","2016-06-20","nc","False","False","2023-06-20","2018-06-19",250,"caleonc","green"
"1106","Site","2016-09-19","nc","False","False","2026-09-19","2022-04-06",1437,"calepneu","green"
"1107","Site","2021-01-12","nc","False","False","2023-01-12","2021-01-12",91,"calevi","green"
"1108","Site","2020-04-27","nc","False","False","2025-04-27","2020-04-27",927,"calexco","green"
"1109","Site","2021-06-30","nc","False","False","2026-06-30","2021-06-30",1356,"calexis","green"
"1110","Site","2018-07-09","nc","False","False","2027-07-09","2022-07-11",1730,"caliconfort","green"
"1111","Site","2021-06-28","nc","False","False","2023-06-28","2021-06-28",258,"california","green"
"1112","Site","2020-11-28","nc","False","False","2025-11-28","2020-11-28",1142,"calinfo-400","green"
"1113","Site","2020-11-28","nc","False","False","2025-11-28","2020-11-28",1142,"calinfo-it","green"
"1114","Site","2020-11-28","nc","False","False","2025-11-28","2020-11-28",1142,"calinfo-webmarketing","green"
"1115","Site","2020-09-22","nc","False","False","2025-09-22","2020-09-22",1075,"calinfo","green"
"1116","Site","2001-05-04","nc","False","False","2025-05-04","2020-03-17",934,"calinvest","green"
"1117","Site","2022-03-04","nc","False","False","2027-03-04","2022-03-04",1603,"calix","green"
"1118","Site","2011-09-30","nc","False","False","2024-09-30","2022-08-12",718,"callidusgroup","green"
"1119","Site","2011-04-20","nc","False","False","2023-04-20","2019-05-09",189,"callis","green"
"1120","Site","2012-01-11","nc","False","False","2025-01-11","2020-01-23",821,"callistosystem","green"
"1121","Site","2021-07-23","nc","False","False","2023-07-23","2021-11-02",283,"callme","green"
"1122","Site","2021-04-07","nc","False","False","2023-04-07","2021-04-07",176,"callpaye","green"
"1123","Site","2015-01-20","nc","False","False","2023-01-20","2019-12-16",99,"calmarine","green"
"1124","Site","2021-01-15","nc","False","False","2026-02-05","2021-01-15",1211,"calnot","green"
"1125","Site","2008-04-09","nc","False","False","2026-04-09","2021-04-07",1274,"calou","green"
"1126","Site","2019-08-23","nc","False","False","2024-09-10","2019-08-23",698,"calpak","green"
"1127","Site","2006-08-17","nc","False","False","2024-08-17","2022-07-12",674,"calsoft","green"
"1128","Site","2021-03-09","nc","False","False","2023-03-09","2021-03-09",147,"calsol","green"
"1129","Site","2020-07-16","nc","False","False","2025-07-16","2020-07-16",1007,"caltec","green"
"1130","Site","2000-09-13","nc","False","False","2025-09-13","2020-08-27",1066,"caltrac","green"
"1131","Site","2012-02-15","nc","False","False","2026-02-15","2021-01-04",1221,"calweb","green"
"1132","Site","2019-02-25","nc","False","False","2023-02-25","2021-01-08",135,"calypso","green"
"1133","Site","1999-10-11","nc","False","False","2027-10-11","2022-09-10",1824,"cam","green"
"1134","Site","2009-02-18","nc","False","False","2025-02-18","2020-02-17",859,"cama","green"
"1135","Site","2021-11-01","nc","False","False","2026-11-01","2021-11-01",1480,"camaieu","green"
"1136","Site","2018-12-04","nc","False","False","2022-12-04","2020-10-21",52,"camillealbane","green"
"1137","Site","2022-01-31","nc","False","False","2027-01-31","2022-01-31",1571,"camo","green"
"1138","Site","2016-11-28","nc","False","False","2023-11-29","2021-11-28",412,"camp","green"
"1139","Site","2018-07-06","nc","False","False","2023-07-06","2020-07-08",266,"camping","green"
"1140","Site","2018-02-23","nc","False","False","2024-02-23","2022-02-09",498,"campus","green"
"1141","Site","2014-03-07","nc","False","False","2025-03-07","2021-03-25",876,"campusdesiles","green"
"1142","Site","2008-03-31","nc","False","False","2027-03-31","2022-02-08",1630,"can","green"
"1143","Site","2022-09-14","nc","False","False","2024-09-14","2022-09-14",702,"cana","green"
"1144","Site","2018-01-30","nc","False","False","2023-01-30","2019-12-03",109,"canalplus","green"
"1145","Site","2006-07-25","nc","False","False","2023-07-25","2018-06-13",285,"canc","green"
"1146","Site","2012-06-04","nc","False","False","2023-06-04","2019-04-05",234,"canel","green"
"1147","Site","1998-01-01","nc","False","False","2024-01-01","2018-11-11",445,"canl","green"
"1148","Site","2022-09-20","nc","False","False","2024-09-20","2022-09-20",708,"canna","green"
"1149","Site","2021-11-25","nc","False","False","2024-11-25","2021-11-25",774,"canoe","green"
"1150","Site","2020-02-11","nc","False","False","2025-02-11","2020-02-11",852,"cantine","green"
"1151","Site","2003-07-28","nc","False","False","2027-07-28","2022-06-08",1749,"cap-emploi","green"
"1152","Site","2021-09-17","nc","False","False","2026-09-17","2021-09-17",1435,"cap-nc","green"
"1153","Site","2010-04-14","nc","False","False","2023-04-14","2021-03-15",183,"cap","green"
"1154","Site","2018-05-07","nc","False","False","2023-05-07","2018-05-07",206,"cap2m","green"
"1155","Site","2018-03-21","nc","False","False","2024-03-21","2022-01-31",525,"cap51","green"
"1156","Site","2015-07-07","nc","False","False","2026-07-08","2021-07-09",1364,"capagro","green"
